equation,term,estimate,se
header_density_diff,const,0.005425017921780477,0.022005976059902867
header_density_diff,log_token_ratio,0.1541337112116623,0.004358214822214466
header_density_diff,log_user_tokens,-0.0008421729252157429,0.002978909842276218
header_density_diff,turns,-0.00029792593517809516,0.0021521319511565353
header_density_diff,cw,-0.012125046081666724,0.010364888394886399
header_density_diff,if,0.0006665175734582531,0.009662688531595442
header_density_diff,math,0.0068991995255583615,0.012084935816811302
header_density_diff,code,-0.006260034840522247,0.008176764141417677
header_density_diff,complexity,-0.002967225441998099,0.007612981646372285
header_density_diff,creativity,-0.010760162686335293,0.007602547140363482
header_density_diff,domain_knowledge,-0.0010999770955497602,0.008792262952252971
header_density_diff,problem_solving,0.017402688690623357,0.008437818825317791
header_density_diff,real_world,0.006265948928528481,0.008054454294567895
header_density_diff,specificity,-0.006340090348624063,0.008460308842225447
header_density_diff,technical_accuracy,0.014108335055080436,0.00832098280236174
header_density_diff,language_ar,-0.035613319839091835,0.04480560825081936
header_density_diff,language_bn,0.0038339567748099717,0.05284665714967538
header_density_diff,language_cs,-0.0953458969670795,0.05359315046668925
header_density_diff,language_de,-0.0270783102655439,0.02408178319711157
header_density_diff,language_en,-0.010534002585391698,0.02015233534461076
header_density_diff,language_es,-0.008466746374003143,0.03288912429319183
header_density_diff,language_fa,-0.030454790606648945,0.025661216841952023
header_density_diff,language_fr,0.01638261022923211,0.028523964745688548
header_density_diff,language_id,0.04329698850629853,0.06424883924615872
header_density_diff,language_it,0.03453783454619039,0.036064969145864274
header_density_diff,language_ja,-0.02182765944859157,0.024530521326514794
header_density_diff,language_ko,-0.017235745860926074,0.025247557037700256
header_density_diff,language_pl,-0.007599244735728619,0.020925240444071683
header_density_diff,language_pt,-0.021477716591050456,0.031140477154903073
header_density_diff,language_ru,-0.006870834946932334,0.02134209993360682
header_density_diff,language_tr,0.008493694862531974,0.03813596512371487
header_density_diff,language_uk,-0.00025939549416996015,0.04273847844046871
header_density_diff,language_und,-0.017564682745178577,0.021622570238082395
header_density_diff,language_vi,-0.026229049014014783,0.0435436068417337
header_density_diff,language_zh,-0.020975286040840174,0.022573573077600127
header_density_diff,language_zh-Hant,-0.02790991463354027,0.03243711282763339
header_density_diff,model:amazon.nova-pro-v1:0,0.27350936897853206,0.02362574285121315
header_density_diff,model:chatgpt-4o-latest-20250326,0.5263097307807278,0.02228237719828183
header_density_diff,model:claude-3-5-haiku-20241022,-0.2341180634934756,0.024473016619382892
header_density_diff,model:claude-3-5-sonnet-20241022,-0.3549415996974066,0.02125627756779044
header_density_diff,model:claude-3-7-sonnet-20250219,-0.19862741876764475,0.022704629643542484
header_density_diff,model:claude-3-7-sonnet-20250219-thinking-32k,-0.1733125601923886,0.022704150451199404
header_density_diff,model:claude-opus-4-20250514,-0.3351272982762328,0.01976124964572584
header_density_diff,model:claude-opus-4-20250514-thinking-16k,-0.3054800859966732,0.021257188786971234
header_density_diff,model:claude-sonnet-4-20250514,-0.35693441982059154,0.020094888145931033
header_density_diff,model:claude-sonnet-4-20250514-thinking-32k,-0.30811074531103766,0.021118347507432886
header_density_diff,model:command-a-03-2025,0.09241165136150492,0.021547954508557836
header_density_diff,model:deepseek-r1-0528,-0.13075559702427142,0.021656897166519702
header_density_diff,model:deepseek-v3-0324,0.5501241688991082,0.02282554947000023
header_density_diff,model:gemini-2.0-flash-001,-0.598783579991691,0.021289599786276783
header_density_diff,model:gemini-2.0-flash-thinking-exp-01-21,-0.6571876125758216,0.05444391495684798
header_density_diff,model:gemini-2.5-flash,-0.49995874392065176,0.019076185210441736
header_density_diff,model:gemini-2.5-flash-lite-preview-06-17-thinking,-0.5713214772528559,0.020536194324460202
header_density_diff,model:gemini-2.5-flash-preview-04-17,-0.606385316995591,0.0210191880708466
header_density_diff,model:gemini-2.5-pro,-0.0651456610508563,0.019363800869383975
header_density_diff,model:gemini-2.5-pro-preview-03-25,-0.5728843384603295,0.03234351542301058
header_density_diff,model:gemini-2.5-pro-preview-05-06,-0.6291365495385138,0.02284494474407409
header_density_diff,model:gemma-3-27b-it,-0.6143774658689531,0.019666468717477133
header_density_diff,model:gemma-3n-e4b-it,-0.557005627590513,0.026026986811052134
header_density_diff,model:gpt-4.1-2025-04-14,0.491548284628301,0.023731726882520128
header_density_diff,model:gpt-4.1-mini-2025-04-14,0.2333145829231396,0.022870467814384322
header_density_diff,model:gpt-4o-2024-11-20,0.14736694854312044,0.04792526190652747
header_density_diff,model:gpt-4o-mini-2024-07-18,0.07303448386320735,0.05132205730996917
header_density_diff,model:grok-3-mini-beta,-0.18275763878986417,0.020282305620623303
header_density_diff,model:grok-3-mini-high,-0.21527560501722276,0.02311981396872858
header_density_diff,model:grok-3-preview-02-24,0.052389908542902715,0.02070743091011822
header_density_diff,model:grok-4-0709,-0.1544615230710523,0.02844459603594741
header_density_diff,model:hunyuan-turbos-20250416,0.42995916105162785,0.035420230425751605
header_density_diff,model:kimi-k2-0711-preview,0.19716257894832423,0.029734569737326366
header_density_diff,model:llama-3.3-70b-instruct,-0.43444842457111255,0.021922854733148082
header_density_diff,model:llama-4-maverick-03-26-experimental,-0.6355588173197126,0.021415589609191474
