variable,ability_diff,verbosity_diff,format_tendency_diff,user_tokens,turns,token_diff_ab,header_density_diff,bold_density_diff,list_density_diff,winner_a
ability_diff,1.0,0.7584,0.5958,-0.0027,-0.0013,0.3489,0.1275,0.2681,-0.0852,0.3193
verbosity_diff,0.7584,1.0,0.8257,-0.0039,0.0012,0.456,-0.0008,0.306,-0.022,0.2409
format_tendency_diff,0.5958,0.8257,1.0,-0.0031,0.0011,0.3778,0.1968,0.5121,0.1363,0.1905
user_tokens,-0.0027,-0.0039,-0.0031,1.0,0.121,-0.0172,-0.0015,-0.0047,-0.0079,0.0025
turns,-0.0013,0.0012,0.0011,0.121,1.0,0.0136,-0.0003,0.0012,0.0006,-0.0024
token_diff_ab,0.3489,0.456,0.3778,-0.0172,0.0136,1.0,-0.0106,0.1324,-0.0384,0.1778
header_density_diff,0.1275,-0.0008,0.1968,-0.0015,-0.0003,-0.0106,1.0,0.324,0.1482,0.0685
bold_density_diff,0.2681,0.306,0.5121,-0.0047,0.0012,0.1324,0.324,1.0,0.2376,0.1156
list_density_diff,-0.0852,-0.022,0.1363,-0.0079,0.0006,-0.0384,0.1482,0.2376,1.0,-0.0127
winner_a,0.3193,0.2409,0.1905,0.0025,-0.0024,0.1778,0.0685,0.1156,-0.0127,1.0
